REF_DATE,GEO,Institution type,Registration status,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,VALUE
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,18
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,International students,6
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Health and related fields [10],Male gender,Canadian students,189
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Health and related fields [10],Male gender,International students,3
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Health and related fields [10],Female gender,Canadian students,999
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Health and related fields [10],Female gender,International students,24
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Health and related fields [10],Gender unknown,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Male gender,Canadian students,81
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Male gender,International students,0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Female gender,Canadian students,60
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Gender unknown,Canadian students,0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Unclassified,Male gender,Canadian students,345
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Unclassified,Male gender,International students,57
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Unclassified,Female gender,Canadian students,633
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Unclassified,Female gender,International students,78
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Unclassified,Gender unknown,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Education [1],Male gender,Canadian students,39
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Education [1],Male gender,International students,18
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Education [1],Female gender,Canadian students,99
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Education [1],Female gender,International students,18
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Visual and performing arts and communications technologies [2],Male gender,Canadian students,9
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Visual and performing arts and communications technologies [2],Male gender,International students,3
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Visual and performing arts and communications technologies [2],Female gender,Canadian students,12
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Visual and performing arts and communications technologies [2],Female gender,International students,6
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Humanities [3],Male gender,Canadian students,30
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Humanities [3],Male gender,International students,24
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Humanities [3],Female gender,Canadian students,60
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Humanities [3],Female gender,International students,21
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Social and behavioural sciences and law [4],Male gender,Canadian students,39
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Social and behavioural sciences and law [4],Male gender,International students,39
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Social and behavioural sciences and law [4],Female gender,Canadian students,117
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Social and behavioural sciences and law [4],Female gender,International students,54
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Social and behavioural sciences and law [4],Gender unknown,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,"Business, management and public administration [5]",Male gender,Canadian students,24
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,"Business, management and public administration [5]",Male gender,International students,39
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,"Business, management and public administration [5]",Female gender,Canadian students,30
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,"Business, management and public administration [5]",Female gender,International students,24
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Physical and life sciences and technologies [6],Male gender,Canadian students,60
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Physical and life sciences and technologies [6],Male gender,International students,51
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Physical and life sciences and technologies [6],Female gender,Canadian students,81
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Physical and life sciences and technologies [6],Female gender,International students,39
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,12
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,International students,48
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,International students,33
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,54
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,International students,255
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,27
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,International students,81
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,12
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,International students,24
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,39
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,International students,24
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Health and related fields [10],Male gender,Canadian students,264
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Health and related fields [10],Male gender,International students,15
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Health and related fields [10],Female gender,Canadian students,438
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Health and related fields [10],Female gender,International students,18
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Health and related fields [10],Gender unknown,Canadian students,9
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Education [1],Male gender,Canadian students,6
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Education [1],Male gender,International students,0
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Education [1],Female gender,Canadian students,6
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Education [1],Female gender,International students,3
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Visual and performing arts and communications technologies [2],Male gender,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Visual and performing arts and communications technologies [2],Male gender,International students,0
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Visual and performing arts and communications technologies [2],Female gender,Canadian students,6
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Visual and performing arts and communications technologies [2],Female gender,International students,3
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Humanities [3],Male gender,Canadian students,12
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Humanities [3],Male gender,International students,9
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Humanities [3],Female gender,Canadian students,9
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Humanities [3],Female gender,International students,9
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Social and behavioural sciences and law [4],Male gender,Canadian students,24
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Social and behavioural sciences and law [4],Male gender,International students,18
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Social and behavioural sciences and law [4],Female gender,Canadian students,51
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Social and behavioural sciences and law [4],Female gender,International students,27
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,"Business, management and public administration [5]",Male gender,Canadian students,9
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,"Business, management and public administration [5]",Male gender,International students,6
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,"Business, management and public administration [5]",Female gender,Canadian students,12
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,"Business, management and public administration [5]",Female gender,International students,6
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Physical and life sciences and technologies [6],Male gender,Canadian students,30
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Physical and life sciences and technologies [6],Male gender,International students,63
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Physical and life sciences and technologies [6],Female gender,Canadian students,24
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Physical and life sciences and technologies [6],Female gender,International students,51
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,"Mathematics, computer and information sciences [7]",Male gender,International students,27
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,"Mathematics, computer and information sciences [7]",Female gender,International students,15
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,27
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,"Architecture, engineering and related technologies [8]",Male gender,International students,159
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,6
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,"Architecture, engineering and related technologies [8]",Female gender,International students,33
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,International students,21
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,International students,9
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Health and related fields [10],Male gender,Canadian students,42
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Health and related fields [10],Male gender,International students,15
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Health and related fields [10],Female gender,Canadian students,78
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Health and related fields [10],Female gender,International students,9
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Other  [12],Male gender,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Other  [12],Male gender,International students,3
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Other  [12],Female gender,Canadian students,9
2018/2019,Newfoundland and Labrador,University,Full-time student,Doctoral or equivalent,Other  [12],Female gender,International students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Personal improvement and leisure [0],Male gender,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Education [1],Male gender,Canadian students,30
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Education [1],Female gender,Canadian students,120
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Male gender,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Female gender,Canadian students,9
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Humanities [3],Male gender,Canadian students,129
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Humanities [3],Male gender,International students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Humanities [3],Female gender,Canadian students,132
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Humanities [3],Female gender,International students,0
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Humanities [3],Gender unknown,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Male gender,Canadian students,51
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Male gender,International students,9
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Female gender,Canadian students,126
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Female gender,International students,6
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Gender unknown,Canadian students,0
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Male gender,Canadian students,150
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Male gender,International students,27
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Female gender,Canadian students,225
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Female gender,International students,18
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Gender unknown,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Male gender,Canadian students,87
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Male gender,International students,24
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Female gender,Canadian students,99
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Female gender,International students,15
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,12
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,International students,6
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,9
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,141
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,International students,12
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,84
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,International students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Gender unknown,Canadian students,0
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Health and related fields [10],Male gender,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Health and related fields [10],Female gender,Canadian students,36
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Health and related fields [10],Female gender,International students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Male gender,Canadian students,15
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Female gender,Canadian students,12
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Unclassified,Male gender,Canadian students,132
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Unclassified,Male gender,International students,9
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Unclassified,Female gender,Canadian students,234
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Unclassified,Female gender,International students,6
2018/2019,Newfoundland and Labrador,University,Part-time student,Bachelor's or equivalent,Unclassified,Gender unknown,Canadian students,0
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,Education [1],Male gender,Canadian students,171
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,Education [1],Male gender,International students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,Education [1],Female gender,Canadian students,378
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,Education [1],Female gender,International students,0
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,Education [1],Gender unknown,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,Humanities [3],Male gender,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,Humanities [3],Female gender,Canadian students,6
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,Social and behavioural sciences and law [4],Male gender,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,Social and behavioural sciences and law [4],Female gender,Canadian students,6
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,Social and behavioural sciences and law [4],Gender unknown,Canadian students,0
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,"Business, management and public administration [5]",Male gender,Canadian students,66
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,"Business, management and public administration [5]",Male gender,International students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,"Business, management and public administration [5]",Female gender,Canadian students,129
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,Physical and life sciences and technologies [6],Male gender,Canadian students,24
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,Physical and life sciences and technologies [6],Male gender,International students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,Physical and life sciences and technologies [6],Female gender,Canadian students,30
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,Physical and life sciences and technologies [6],Female gender,International students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,0
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,87
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,International students,9
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,27
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,International students,0
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,12
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,International students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,18
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,International students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,Health and related fields [10],Male gender,Canadian students,15
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,Health and related fields [10],Male gender,International students,0
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,Health and related fields [10],Female gender,Canadian students,96
2018/2019,Newfoundland and Labrador,University,Part-time student,Master's or equivalent,Health and related fields [10],Female gender,International students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Doctoral or equivalent,Education [1],Female gender,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Doctoral or equivalent,Humanities [3],Male gender,Canadian students,0
2018/2019,Newfoundland and Labrador,University,Part-time student,Doctoral or equivalent,Humanities [3],Female gender,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Doctoral or equivalent,Social and behavioural sciences and law [4],Male gender,Canadian students,6
2018/2019,Newfoundland and Labrador,University,Part-time student,Doctoral or equivalent,Social and behavioural sciences and law [4],Female gender,Canadian students,6
2018/2019,Newfoundland and Labrador,University,Part-time student,Doctoral or equivalent,"Business, management and public administration [5]",Male gender,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Part-time student,Doctoral or equivalent,Physical and life sciences and technologies [6],Male gender,Canadian students,6
